symbol,name,sector,sector_class,status,all_pass,manual_cash_check,g1_solvency,g3_margin_slope,g4_cfo_np,g5_roe_relative,g6_new_high,g7_fwd_pe,composite,cagr_score,yield_score,peg_score,cagr_3y_pct,dividend_yield_pct,peg,roe_3y_avg_pct,fwd_pe,price,mcap
2S,2S METAL PUBLIC COMPANY LIMITED,Steel and Metal Products,default,scanned,NO,N/A,YES,NO,YES,NO,NO,YES,28.96,0.0,95.79,0.74,,6.58,0.015,5.47,7.57,3.04,1671987700.16
A,AREEYA PROPERTY PUBLIC COMPANY LIMITED,Property Development,default,scanned,NO,N/A,NO,NO,NA,NO,NO,NA,3.35,0.0,11.17,0.0,,0.64,,-7.98,,4.7,4606000000.0
A5,ASSET FIVE GROUP PUBLIC COMPANY LIMITED,Property Development,default,scanned,NO,N/A,NO,YES,NO,YES,NO,NO,60.46,100.0,47.81,20.38,51.37,2.73,0.408,28.27,20.94,1.83,2213174063.22
AAI,Asian Alliance International Public Company Limited,Food & Beverage,default,scanned,YES,PENDING,YES,YES,YES,YES,YES,YES,54.37,59.21,100.0,2.28,15.4,9.62,0.046,16.99,7.38,3.48,7395000000.0
AAV,ASIA AVIATION PUBLIC COMPANY LIMITED,Transportation & Logistics,default,scanned,NO,N/A,NO,YES,YES,YES,NO,YES,30.0,0.0,100.0,0.0,,12.0,,19.86,9.58,1.07,13749499996.79
ABM,ASIA BIOMASS PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,YES,NO,NA,NO,NO,NA,0.0,0.0,0.0,0.0,-100.0,,,-4.09,,0.46,318375404.7
ACAP,ASIA CAPITAL GROUP PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,NO,YES,NA,YES,NO,NA,30.0,0.0,100.0,0.0,,72.3,,21.08,,0.33,134115688.0
ACC,ADVANCED CONNECTION CORPORATION PUBLIC COMPANY LIMITED,Energy & Utilities,default,scanned,NO,N/A,NO,NO,NA,NO,NO,NA,30.0,0.0,100.0,0.0,,18.16,,1.98,,0.38,714526917.34
ACE,ABSOLUTE CLEAN ENERGY PUBLIC COMPANY LIMITED,Energy & Utilities,default,scanned,NO,N/A,YES,NO,YES,NO,NO,YES,4.13,0.0,13.78,0.0,-17.72,0.79,,7.34,9.14,1.27,12796055637.2
ACG,AUTOCORP HOLDING PUBLIC COMPANY LIMITED,Automotive,default,scanned,NO,N/A,YES,YES,YES,NO,YES,YES,71.85,100.0,97.8,8.36,33.5,6.78,0.167,3.71,9.57,0.59,354000000.0
ADB,APPLIED DB PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,YES,YES,NA,NO,NO,YES,24.25,0.0,80.85,0.0,,5.08,,0.78,12.57,0.59,428339954.57
ADD,ADDTECH HUB PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,YES,NO,YES,NO,NO,YES,30.0,0.0,100.0,0.0,-41.49,8.79,,6.02,13.58,3.3,554400000.0
